Gene,Sample,Protein accession,e.value,Score,NCBI.ID,Alignment length,Percent alignment
vanA,Bacterial genome,KALB_RS05795,8.4e-152,512.9,NZ_CP007155,342,0.997084548104956
ClassA,Bacterial genome,JTY_RS10715,1.8e-84,291.1,NC_012207,275,0.935374149659864
adeB,Bacterial genome,JCM7686_RS16585,0,1208.8,NC_022041,1031,0.996135265700483
tetA,Bacterial genome,IS_RS23075,1.1e-98,338.5,NC_007508,383,0.943349753694581
tolC,Bacterial genome,IS_RS19130,4.4e-82,284.1,NC_007508,441,1.00455580865604
ClassA,Bacterial genome,IS_RS17745,5.2e-90,309.3,NC_007508,265,0.901360544217687
adeB,Bacterial genome,IS_RS16285,0,1464.8,NC_007508,1035,1
adeB,Bacterial genome,IS_RS14685,0,1241.9,NC_007508,1035,1
adeB,Bacterial genome,IS_RS13490,0,1321.5,NC_007508,1029,0.994202898550725
strA,Bacterial genome,IS_RS12945,9.1e-190,636.1,NC_007508,266,0.99625468164794
strB,Bacterial genome,IS_RS12940,4.5e-196,657.3,NC_007508,277,0.996402877697842
mexE,Bacterial genome,IS_RS08990,3.4e-115,393.1,NC_007508,377,0.910628019323672
intI,Bacterial genome,IS_RS03035,2.5e-137,464.9,NC_007508,309,0.968652037617555
tetA,Bacterial genome,IO79_RS09810,1.1e-103,354.9,NC_015161,396,0.975369458128079
CAT,Bacterial genome,IO79_RS06215,1.7e-46,166.1,NC_015161,200,0.921658986175115
adeB,Bacterial genome,ILYOP_RS05675,0,1065.4,NC_014632,1038,1.00289855072464
adeB,Bacterial genome,IE4771_RS17800,0,1307,NZ_CP006986,1028,0.993236714975845
adeB,Bacterial genome,IE4771_RS17485,0,1046.3,NZ_CP006986,1037,1.00193236714976
ClassC,Bacterial genome,IE4771_RS16705,4.5e-149,504.1,NZ_CP006986,357,0.927272727272727
ClassA,Bacterial genome,IE4771_RS06335,3.4e-98,336.2,NZ_CP006986,276,0.938775510204082
ANT6,Bacterial genome,I653_RS12540,2.7e-123,418.3,NC_020832,276,0.958333333333333
ClassC,Bacterial genome,I502_RS0127685,2.8e-151,511.4,NZ_CM002025,374,0.971428571428571
adeB,Bacterial genome,I502_RS0117060,0,1344.7,NZ_CM002024,1024,0.989371980676328
adeB,Bacterial genome,I502_RS0116585,0,1051.9,NZ_CM002024,1043,1.00772946859903
ANT6,Bacterial genome,I33_RS12615,4.3e-124,420.9,NC_017195,276,0.958333333333333
ClassC,Bacterial genome,I02_RS23370,5e-185,622.4,NC_017651,375,0.974025974025974
adeB,Bacterial genome,I02_RS19660,0,1398.2,NC_017651,1032,0.997101449275362
adeB,Bacterial genome,I02_RS18320,0,1456.2,NC_017651,1032,0.997101449275362
tolC,Bacterial genome,I02_RS17170,4.3e-203,682.8,NC_017651,442,1.00683371298405
adeB,Bacterial genome,I02_RS13835,0,1429.1,NC_017651,1029,0.994202898550725
adeB,Bacterial genome,I02_RS02690,0,1477.1,NC_017651,1039,1.00386473429952
adeB,Bacterial genome,HZ99_RS24085,0,1424.9,NZ_CP008896,1040,1.0048309178744
vanC,Bacterial genome,HZ99_RS22120,7.7e-69,240,NZ_CP008896,347,0.991428571428571
tolC,Bacterial genome,HZ99_RS20080,2.4e-90,311.3,NZ_CP008896,425,0.968109339407745
adeB,Bacterial genome,HZ99_RS18750,0,1028.6,NZ_CP008896,1035,1
adeB,Bacterial genome,HZ99_RS03860,0,1460.2,NZ_CP008896,1027,0.992270531400966
mexE,Bacterial genome,HZ99_RS02720,4.4e-203,682.6,NZ_CP008896,395,0.954106280193237
adeB,Bacterial genome,HZ99_RS02715,0,1035.9,NZ_CP008896,1042,1.00676328502415
ClassC,Bacterial genome,HZ99_RS01945,1.2e-162,548.8,NZ_CP008896,358,0.92987012987013
ClassB,Bacterial genome,HYU01_RS16965,5e-80,276.5,NZ_CP008846,255,0.965909090909091
tetQ,Bacterial genome,HYU01_RS14880,8.4e-126,428.6,NZ_CP008846,617,0.939117199391172
ClassA,Bacterial genome,HYU01_RS12345,1.3e-107,367.1,NZ_CP008846,274,0.931972789115646
CAT,Bacterial genome,HYU01_RS11890,1e-83,287.7,NZ_CP008846,214,0.986175115207373
ANT6,Bacterial genome,HYU01_RS09740,1.3e-83,288.1,NZ_CP008846,279,0.96875
ClassA,Bacterial genome,HYPMC_RS21055,3.2e-92,316.5,NC_015717,271,0.921768707482993
adeB,Bacterial genome,HYPMC_RS20640,2.4e-300,1006.8,NC_015717,1025,0.990338164251208
adeB,Bacterial genome,HYPMC_RS17465,0,1028.5,NC_015717,1034,0.999033816425121
adeB,Bacterial genome,HYPMC_RS08220,0,1410,NC_015717,1034,0.999033816425121
adeB,Bacterial genome,HYPMC_RS02940,5.7e-299,1002.3,NC_015717,1037,1.00193236714976
ClassB,Bacterial genome,HY57_RS19035,2.3e-57,202.1,NZ_CP008884,285,1.07954545454545
adeB,Bacterial genome,HY57_RS14950,0,1427.1,NZ_CP008884,1033,0.998067632850242
adeB,Bacterial genome,HY57_RS10090,0,1200.9,NZ_CP008884,1045,1.00966183574879
adeB,Bacterial genome,HY57_RS02960,4.1e-299,1002.7,NZ_CP008884,1040,1.0048309178744
tetA,Bacterial genome,HY57_RS00560,2.6e-101,347.2,NZ_CP008884,396,0.975369458128079
tolC,Bacterial genome,HY57_RS00135,5.4e-89,306.8,NZ_CP008884,437,0.995444191343964
adeB,Bacterial genome,HR38_RS24635,0,1406.6,NZ_CP008841,1028,0.993236714975845
adeB,Bacterial genome,HR38_RS14845,0,1443.2,NZ_CP008841,1033,0.998067632850242
ClassA,Bacterial genome,HR38_RS11805,4.7e-114,388.2,NZ_CP008841,285,0.969387755102041
adeB,Bacterial genome,HR38_RS11500,0,1486.7,NZ_CP008841,1038,1.00289855072464
vanC,Bacterial genome,HR38_RS10880,1.1e-69,242.8,NZ_CP008841,347,0.991428571428571
adeB,Bacterial genome,HR38_RS04640,0,1320,NZ_CP008841,1030,0.995169082125604
adeB,Bacterial genome,HR38_RS02650,0,1482.2,NZ_CP008841,1032,0.997101449275362
tolC,Bacterial genome,HR38_RS01525,6.8e-179,603.1,NZ_CP008841,436,0.993166287015945
ClassA,Bacterial genome,HPL003_RS20410,2.3e-94,323.6,NC_016641,272,0.925170068027211
tetQ,Bacterial genome,HPL003_RS07000,3.4e-75,261.3,NC_016641,601,0.914764079147641
ClassA,Bacterial genome,HKBS1_RS10855,1.8e-84,291.1,NZ_CP002871,275,0.935374149659864
tolC,Bacterial genome,HHAL_RS10055,1.4e-84,292.3,NC_008789,421,0.958997722095672
tolC,Bacterial genome,HELO_RS11550,1e-95,329,NC_014532,432,0.984054669703872
ANT9,Bacterial genome,HELO_RS10555,8.5e-88,301.6,NC_014532,252,0.969230769230769
ANT9,Bacterial genome,HELO_RS07075,1.6e-73,254.8,NC_014532,235,0.903846153846154
ClassA,Bacterial genome,HELO_RS02330,9.6e-105,357.7,NC_014532,268,0.91156462585034
ClassB,Bacterial genome,HD73_RS18370,2.8e-80,277.3,NC_020238,255,0.965909090909091
ClassA,Bacterial genome,HD73_RS17395,9.4e-103,351.1,NC_020238,269,0.914965986394558
tetQ,Bacterial genome,HD73_RS14800,2.6e-130,443.4,NC_020238,622,0.946727549467275
tetA,Bacterial genome,HD73_RS13625,3.1e-91,313.9,NC_020238,390,0.960591133004926
CAT,Bacterial genome,HD73_RS13355,5.9e-81,278.7,NC_020238,214,0.986175115207373
ANT6,Bacterial genome,HD73_RS10885,2e-86,297.3,NC_020238,279,0.96875
ANT6,Bacterial genome,HBHAL_RS10625,1.1e-68,239.1,NC_017668,267,0.927083333333333
ClassB,Bacterial genome,H9401_RS17005,5e-80,276.5,NC_017729,255,0.965909090909091
tetQ,Bacterial genome,H9401_RS14905,5.3e-126,429.2,NC_017729,617,0.939117199391172
ClassA,Bacterial genome,H9401_RS12370,1.3e-107,367.1,NC_017729,274,0.931972789115646
CAT,Bacterial genome,H9401_RS11920,1e-83,287.7,NC_017729,214,0.986175115207373
ANT6,Bacterial genome,H9401_RS09775,1.3e-83,288.1,NC_017729,279,0.96875
tolC,Bacterial genome,H681_RS22415,3.1e-95,327.4,NC_020829,428,0.9749430523918
ClassC,Bacterial genome,H681_RS14450,3.7e-141,478,NC_020829,361,0.937662337662338
adeB,Bacterial genome,H681_RS14425,0,1382.2,NC_020829,1031,0.996135265700483
mexE,Bacterial genome,H681_RS10175,2.6e-221,742.7,NC_020829,393,0.949275362318841
adeB,Bacterial genome,H681_RS10170,0,1052.3,NC_020829,1046,1.01062801932367
adeB,Bacterial genome,H681_RS04290,0,1115.3,NC_020829,1036,1.00096618357488
adeB,Bacterial genome,H681_RS01930,0,1460.1,NC_020829,1036,1.00096618357488
CAT,Bacterial genome,H650_RS22865,7.1e-80,275.2,NC_021500,210,0.967741935483871
adeB,Bacterial genome,H650_RS19715,0,1489.2,NC_021500,1038,1.00289855072464
vanC,Bacterial genome,H650_RS19145,6.6e-70,243.5,NC_021500,345,0.985714285714286
adeB,Bacterial genome,H650_RS17320,0,1332.7,NC_021500,1025,0.990338164251208
tolC,Bacterial genome,H650_RS10730,1.7e-186,628.2,NC_021500,437,0.995444191343964
adeB,Bacterial genome,H650_RS07300,0,1415.1,NC_021500,1029,0.994202898550725
ClassA,Bacterial genome,H650_RS02470,1.9e-98,337,NC_021500,277,0.942176870748299
adeB,Bacterial genome,H650_RS00660,0,1432.5,NC_021500,1033,0.998067632850242
ClassB,Bacterial genome,H175_RS17100,4.3e-80,276.7,NC_020376,256,0.96969696969697
ClassA,Bacterial genome,H175_RS16055,3.8e-96,329.4,NC_020376,268,0.91156462585034
tetQ,Bacterial genome,H175_RS15320,2.9e-129,440,NC_020376,622,0.946727549467275
ClassA,Bacterial genome,H175_RS12580,1.3e-103,353.9,NC_020376,269,0.914965986394558
tetA,Bacterial genome,H175_RS12200,2e-94,324.4,NC_020376,393,0.967980295566502
CAT,Bacterial genome,H175_RS11845,1.3e-80,277.6,NC_020376,214,0.986175115207373
ANT6,Bacterial genome,H175_RS09915,2.7e-84,290.3,NC_020376,279,0.96875
ClassC,Bacterial genome,H16_RS25250,1.3e-165,558.5,NC_008314,376,0.976623376623377
adeB,Bacterial genome,H16_RS24330,0,1036.7,NC_008314,1034,0.999033816425121
adeB,Bacterial genome,H16_RS18630,0,1442.4,NC_008313,1030,0.995169082125604
adeB,Bacterial genome,H16_RS17980,0,1044.2,NC_008313,1023,0.988405797101449
adeB,Bacterial genome,H16_RS16735,0,1041.1,NC_008313,1032,0.997101449275362
tolC,Bacterial genome,H16_RS14345,1.5e-114,391,NC_008313,442,1.00683371298405
adeB,Bacterial genome,H16_RS08815,2.1e-301,1010.3,NC_008313,1033,0.998067632850242
tolC,Bacterial genome,H045_RS23325,3.2e-91,314.2,NC_020209,425,0.968109339407745
adeB,Bacterial genome,H045_RS10030,0,1452.4,NC_020209,1029,0.994202898550725
ClassC,Bacterial genome,H045_RS09450,8.9e-161,542.6,NC_020209,361,0.937662337662338
mexE,Bacterial genome,H045_RS07645,3.1e-194,653.4,NC_020209,400,0.966183574879227
adeB,Bacterial genome,H045_RS07640,0,1033.3,NC_020209,1042,1.00676328502415
adeB,Bacterial genome,H045_RS03630,0,1438.5,NC_020209,1043,1.00772946859903
vanC,Bacterial genome,H045_RS00135,6.1e-70,243.6,NC_020209,347,0.991428571428571
CAT,Bacterial genome,H04402_RS09995,8.9e-75,258.5,NC_017299,217,1
ClassA,Bacterial genome,H04402_RS03770,2.1e-92,317.1,NC_017299,280,0.952380952380952
adeB,Bacterial genome,GURA_RS17840,0,1429.7,NC_009483,1036,1.00096618357488
intI,Bacterial genome,GURA_RS14595,2.3e-107,366.4,NC_009483,312,0.978056426332288
tetA,Bacterial genome,GURA_RS04015,4.2e-92,316.8,NC_009483,373,0.91871921182266
vanC,Bacterial genome,GTNG_RS01165,1.8e-73,255.2,NC_009328,347,0.991428571428571
adeB,Bacterial genome,GSU2696_NA,0,1409.5,NC_002939,1039,1.00386473429952
intI,Bacterial genome,GSU2467_NA,2.5e-108,369.6,NC_002939,312,0.978056426332288
intI,Bacterial genome,GMET_RS15070,6.3e-150,506.2,NC_007517,317,0.993730407523511
intI,Bacterial genome,GMET_RS14045,4.6e-110,375.3,NC_007517,312,0.978056426332288
adeB,Bacterial genome,GMET_RS04055,0,1392.4,NC_007517,1037,1.00193236714976
adeB,Bacterial genome,GM21_RS09215,0,1405.1,NC_012918,1037,1.00193236714976
adeB,Bacterial genome,GM18_RS09035,0,1397.9,NC_014973,1042,1.00676328502415
adeB,Bacterial genome,glr3988_NA,0,1049.3,NC_005125,1026,0.991304347826087
adeB,Bacterial genome,GLOV_RS17005,0,1426.3,NC_010814,1037,1.00193236714976
ClassA,Bacterial genome,GLOV_RS12770,9.1e-100,341.3,NC_010814,283,0.962585034013605
intI,Bacterial genome,GLOV_RS12750,1.4e-106,363.8,NC_010814,312,0.978056426332288
intI,Bacterial genome,GLOV_RS11155,1e-149,505.6,NC_010814,317,0.993730407523511
adeB,Bacterial genome,GLOV_RS06865,0,1042,NC_010814,1028,0.993236714975845
AAC6-Ia,Bacterial genome,GLO7428_RS05030,2.2e-40,145.8,NC_019745,180,0.972972972972973
adeB,Bacterial genome,GLO7428_RS03995,0,1056.9,NC_019745,1027,0.992270531400966
tetA,Bacterial genome,gll1490_NA,1.4e-84,292.1,NC_005125,383,0.943349753694581
ANT6,Bacterial genome,GHH_RS08650,4.1e-67,233.9,NC_020210,268,0.930555555555556
vanC,Bacterial genome,GHH_RS01225,1.2e-71,249.3,NC_020210,347,0.991428571428571
adeB,Bacterial genome,GEOB_RS06115,0,1397.9,NC_011979,1036,1.00096618357488
adeB,Bacterial genome,GEM_RS28920,3.3e-301,1009.7,NC_018514,1035,1
adeB,Bacterial genome,GEM_RS24015,0,1569,NC_018514,1026,0.991304347826087
mexC,Bacterial genome,GEM_RS24010,3.2e-186,626.9,NC_018514,383,0.994805194805195
ClassA,Bacterial genome,GEM_RS19105,2.2e-84,290.8,NC_018514,273,0.928571428571429
ClassA,Bacterial genome,GEM_RS17400,2.5e-107,366.1,NC_018514,279,0.948979591836735
adeB,Bacterial genome,GEM_RS08900,0,1279.4,NC_018513,1026,0.991304347826087
adeB,Bacterial genome,GEM_RS04095,0,1451.8,NC_018513,1032,0.997101449275362
adeB,Bacterial genome,GEI7407_RS10685,0,1034.7,NC_019703,1028,0.993236714975845
ClassA,Bacterial genome,GEI7407_RS09430,1.5e-75,261.8,NC_019703,272,0.925170068027211
ClassA,Bacterial genome,GDIA_RS14135,4.4e-84,289.8,NC_011365,278,0.945578231292517
adeB,Bacterial genome,GDIA_RS10060,0,1293.8,NC_011365,1029,0.994202898550725
adeB,Bacterial genome,GBEM_RS11860,0,1388.6,NC_011146,1037,1.00193236714976
ClassA,Bacterial genome,GBCGDNIH1_RS06010,1.7e-75,261.6,NC_008343,280,0.952380952380952
ClassB,Bacterial genome,GBAA_RS17045,5e-80,276.5,NC_007530,255,0.965909090909091
tetQ,Bacterial genome,GBAA_RS14935,5.3e-126,429.2,NC_007530,617,0.939117199391172
ClassA,Bacterial genome,GBAA_RS12395,1.3e-107,367.1,NC_007530,274,0.931972789115646
CAT,Bacterial genome,GBAA_RS11945,1e-83,287.7,NC_007530,214,0.986175115207373
ANT6,Bacterial genome,GBAA_RS09800,1.3e-83,288.1,NC_007530,279,0.96875
intI,Bacterial genome,GAU_RS18025,4.5e-126,427.8,NC_012489,314,0.984326018808777
adeB,Bacterial genome,GALF_RS14395,0,1340.7,NC_014394,1026,0.991304347826087
tolC,Bacterial genome,GALF_RS14225,1.5e-113,387.8,NC_014394,433,0.986332574031891
tolC,Bacterial genome,GALF_RS12375,1.3e-118,404.4,NC_014394,431,0.981776765375854
tolC,Bacterial genome,G655_RS26330,6.5e-92,316.4,NC_020912,422,0.96127562642369
adeB,Bacterial genome,G655_RS24320,0,1377.7,NC_020912,1035,1
CAT,Bacterial genome,G655_RS21900,3.4e-59,207.6,NC_020912,204,0.940092165898618
tetA,Bacterial genome,G655_RS19615,2.5e-82,284.6,NC_020912,384,0.945812807881773
adeB,Bacterial genome,G655_RS15060,0,1311.8,NC_020912,1025,0.990338164251208
mexE,Bacterial genome,G655_RS12635,7.4e-289,965.1,NC_020912,413,0.997584541062802
adeB,Bacterial genome,G655_RS12630,0,1049.7,NC_020912,1042,1.00676328502415
ClassC,Bacterial genome,G655_RS04180,1.3e-164,555.3,NC_020912,372,0.966233766233766
adeB,Bacterial genome,G655_RS02160,0,1473.8,NC_020912,1037,1.00193236714976
adeB,Bacterial genome,G432_RS13535,0,1274.8,NC_020561,1039,1.00386473429952
adeB,Bacterial genome,G432_RS10775,0,1352.4,NC_020561,1030,0.995169082125604
adeB,Bacterial genome,G432_RS00020,0,1030.3,NC_020561,1036,1.00096618357488
ClassC,Bacterial genome,G2583_RS25640,2.2e-184,620.3,NC_013941,375,0.974025974025974
adeB,Bacterial genome,G2583_RS21865,0,1399.8,NC_013941,1032,0.997101449275362
adeB,Bacterial genome,G2583_RS20490,0,1455.3,NC_013941,1032,0.997101449275362
tolC,Bacterial genome,G2583_RS19355,2.2e-203,683.8,NC_013941,442,1.00683371298405
adeB,Bacterial genome,G2583_RS15380,0,1430,NC_013941,1029,0.994202898550725
adeB,Bacterial genome,G2583_RS08320,0,1250,NC_013941,976,0.942995169082126
adeB,Bacterial genome,G2583_RS02895,0,1474.5,NC_013941,1039,1.00386473429952
ClassA,Bacterial genome,FTM_RS06650,5.5e-78,269.8,NC_010677,276,0.938775510204082
ClassA,Bacterial genome,FTM_RS03895,6.9e-74,256.4,NC_010677,265,0.901360544217687
ClassA,Bacterial genome,FTL_RS04890,5.1e-79,273.2,NC_007880,276,0.938775510204082
ClassA,Bacterial genome,FTL_RS04525,3.2e-72,250.9,NC_007880,265,0.901360544217687
ClassA,Bacterial genome,FTF_RS03630,7.7e-79,272.6,NC_008245,276,0.938775510204082
ClassA,Bacterial genome,FTF_RS03265,2.1e-73,254.8,NC_008245,265,0.901360544217687
ClassA,Bacterial genome,FPHI_RS08235,5.2e-77,266.6,NC_010336,280,0.952380952380952
ClassA,Bacterial genome,FPHI_RS00135,3.1e-70,244.4,NC_010336,272,0.925170068027211
ClassA,Bacterial genome,FNFX1_RS05135,1.3e-79,275.2,NC_017450,276,0.938775510204082
ClassA,Bacterial genome,FN3523_RS04015,1.5e-73,255.3,NC_017449,266,0.904761904761905
ClassA,Bacterial genome,FN3523_RS03370,2.8e-79,274.1,NC_017449,277,0.942176870748299
ClassB,Bacterial genome,FJOH_RS18030,8.2e-70,243,NC_009441,240,0.909090909090909
tetX,Bacterial genome,FJOH_RS14660,1.4e-146,495.9,NC_009441,367,0.922110552763819
ClassA,Bacterial genome,FIC_RS04600,1.8e-70,245.1,NC_013062,283,0.962585034013605
tetA,Bacterial genome,FIC_RS03230,8.6e-105,358.6,NC_013062,392,0.96551724137931
tetA,Bacterial genome,FE46_RS12385,5.3e-111,379.1,NZ_CP007627,392,0.96551724137931
tetX,Bacterial genome,FE46_RS06110,1.6e-108,370.6,NZ_CP007627,373,0.937185929648241
tetA,Bacterial genome,FE46_RS04070,5.5e-101,346.1,NZ_CP007627,396,0.975369458128079
tetA,Bacterial genome,FE46_RS03080,2.7e-100,343.8,NZ_CP007627,396,0.975369458128079
tetA,Bacterial genome,FE46_RS03050,5.5e-101,346.1,NZ_CP007627,396,0.975369458128079
tetA,Bacterial genome,FCOL_RS09870,1.3e-108,371.2,NC_016510,373,0.91871921182266
tetA,Bacterial genome,FBFL15_RS00245,1.2e-106,364.7,NC_016001,389,0.958128078817734
ClassA,Bacterial genome,F7308_RS07675,3.2e-75,260.7,NC_015696,280,0.952380952380952
ClassA,Bacterial genome,F7308_RS06050,1.5e-70,245.4,NC_015696,269,0.914965986394558
tolC,Bacterial genome,F504_RS03385,1.5e-106,364.7,NC_020799,425,0.968109339407745
adeB,Bacterial genome,F504_RS00040,0,1438.8,NC_020799,1030,0.995169082125604
vanC,Bacterial genome,EY04_RS25800,3.3e-69,241.2,NZ_CP008696,347,0.991428571428571
ClassC,Bacterial genome,EY04_RS20150,4.8e-164,553.4,NZ_CP008696,372,0.966233766233766
tolC,Bacterial genome,EY04_RS19815,5.4e-88,303.5,NZ_CP008696,438,0.997722095671982
adeB,Bacterial genome,EY04_RS16255,0,1457.4,NZ_CP008696,1028,0.993236714975845
adeB,Bacterial genome,EY04_RS16090,0,1043.1,NZ_CP008696,1043,1.00772946859903
mexE,Bacterial genome,EY04_RS16085,4.3e-197,662.9,NZ_CP008696,401,0.968599033816425
tetQ,Bacterial genome,EY04_RS14290,2.7e-97,334.4,NZ_CP008696,609,0.926940639269406
adeB,Bacterial genome,EY04_RS06015,0,1435.4,NZ_CP008696,1034,0.999033816425121
tolC,Bacterial genome,EY04_RS01980,9.5e-92,315.9,NZ_CP008696,424,0.965831435079727
adeB,Bacterial genome,ETA_RS13580,0,1489.1,NC_010694,1033,0.998067632850242
adeB,Bacterial genome,ETA_RS06440,0,1382,NC_010694,1029,0.994202898550725
ClassC,Bacterial genome,ETA_RS03640,9.1e-166,559,NC_010694,387,1.00519480519481
tolC,Bacterial genome,ETA_RS03285,2.2e-171,578.3,NC_010694,440,1.00227790432802
ANT6,Bacterial genome,ERH_RS07940,9.9e-76,262.2,NC_015601,277,0.961805555555556
ClassC,Bacterial genome,EPYR_RS15540,1.5e-167,564.9,NC_017390,377,0.979220779220779
adeB,Bacterial genome,EPYR_RS13055,0,1483.6,NC_017390,1036,1.00096618357488
adeB,Bacterial genome,EPYR_RS05730,0,1385.8,NC_017390,1029,0.994202898550725
tolC,Bacterial genome,EPYR_RS02325,1.4e-176,595.5,NC_017390,440,1.00227790432802
ClassC,Bacterial genome,EPC_RS15770,1.5e-167,564.9,NC_012214,377,0.979220779220779
adeB,Bacterial genome,EPC_RS13290,0,1483.6,NC_012214,1036,1.00096618357488
adeB,Bacterial genome,EPC_RS05960,0,1385.8,NC_012214,1029,0.994202898550725
tolC,Bacterial genome,EPC_RS02550,1.4e-176,595.5,NC_012214,440,1.00227790432802
tetA,Bacterial genome,EP01_RS17265,1.4e-112,384.2,NZ_CP007656,375,0.923645320197044
adeB,Bacterial genome,ENTCL_RS20255,0,1360,NC_014618,1032,0.997101449275362
adeB,Bacterial genome,ENTCL_RS16595,0,1490.5,NC_014618,1038,1.00289855072464
ClassC,Bacterial genome,ENTCL_RS14810,1.9e-172,581,NC_014618,374,0.971428571428571
tetA,Bacterial genome,ENTCL_RS11335,2.3e-166,561.4,NC_014618,393,0.967980295566502
adeB,Bacterial genome,ENTCL_RS06460,0,1416.1,NC_014618,1028,0.993236714975845
tolC,Bacterial genome,ENTCL_RS03595,3.9e-181,610.5,NC_014618,439,1
adeB,Bacterial genome,ENTCL_RS02230,0,1484,NC_014618,1032,0.997101449275362
adeB,Bacterial genome,ENT638_RS19080,0,1447.6,NC_009436,1031,0.996135265700483
tolC,Bacterial genome,ENT638_RS17795,2.4e-187,631,NC_009436,442,1.00683371298405
adeB,Bacterial genome,ENT638_RS15325,0,1395.4,NC_009436,1028,0.993236714975845
CAT,Bacterial genome,ENT638_RS07985,2.1e-76,263.8,NC_009436,210,0.967741935483871
adeB,Bacterial genome,ENT638_RS07805,0,1438.4,NC_009436,1031,0.996135265700483
adeB,Bacterial genome,ENT638_RS04885,0,1481.6,NC_009436,1037,1.00193236714976
vanC,Bacterial genome,ENT638_RS04420,3.3e-69,241.2,NC_009436,347,0.991428571428571
ClassC,Bacterial genome,ENT638_RS01795,1.4e-187,630.9,NC_009436,379,0.984415584415584
adeB,Bacterial genome,EJP617_RS17655,0,1388.5,NC_017445,1029,0.994202898550725
adeB,Bacterial genome,EJP617_RS10695,0,1481.8,NC_017445,1036,1.00096618357488
ClassC,Bacterial genome,EJP617_RS08410,4.6e-168,566.6,NC_017445,381,0.98961038961039
tolC,Bacterial genome,EJP617_RS08025,5.6e-179,603.4,NC_017445,440,1.00227790432802
adeB,Bacterial genome,EIO_RS06450,0,1217.2,NC_014625,1028,0.993236714975845
adeB,Bacterial genome,EIO_RS01675,0,1205.7,NC_014625,1031,0.996135265700483
ClassC,Bacterial genome,EDL933_RS27245,5.2e-185,622.4,NZ_CP008957,375,0.974025974025974
adeB,Bacterial genome,EDL933_RS23435,0,1399.8,NZ_CP008957,1032,0.997101449275362
tolC,Bacterial genome,EDL933_RS20910,1.2e-203,684.7,NZ_CP008957,442,1.00683371298405
adeB,Bacterial genome,EDL933_RS17770,0,1427.4,NZ_CP008957,1029,0.994202898550725
adeB,Bacterial genome,EDL933_RS11730,0,1241.9,NZ_CP008957,974,0.941062801932367
adeB,Bacterial genome,EDL933_RS02650,0,1473.2,NZ_CP008957,1039,1.00386473429952
adeB,Bacterial genome,ECWSU1_RS20185,0,1463.5,NC_016514,1033,0.998067632850242
tolC,Bacterial genome,ECWSU1_RS18965,3.5e-185,623.8,NC_016514,439,1
adeB,Bacterial genome,ECWSU1_RS16220,0,1423.7,NC_016514,1028,0.993236714975845
CAT,Bacterial genome,ECWSU1_RS09820,1.4e-74,257.8,NC_016514,211,0.972350230414747
adeB,Bacterial genome,ECWSU1_RS04905,0,1497,NC_016514,1039,1.00386473429952
vanC,Bacterial genome,ECWSU1_RS04430,3.9e-69,241,NC_016514,347,0.991428571428571
ClassC,Bacterial genome,ECWSU1_RS01770,6.1e-187,628.7,NC_016514,380,0.987012987012987
adeB,Bacterial genome,ECWSU1_RS00280,0,1348.6,NC_016514,1027,0.992270531400966
ClassC,Bacterial genome,ECOLC_RS20760,3e-185,623.2,NC_010468,375,0.974025974025974
adeB,Bacterial genome,ECOLC_RS16960,0,1474.5,NC_010468,1039,1.00386473429952
adeB,Bacterial genome,ECOLC_RS06490,0,1430,NC_010468,1029,0.994202898550725
tolC,Bacterial genome,ECOLC_RS03520,2.2e-203,683.8,NC_010468,442,1.00683371298405
adeB,Bacterial genome,ECOLC_RS02350,0,1455.3,NC_010468,1032,0.997101449275362
adeB,Bacterial genome,ECOLC_RS01065,0,1397.7,NC_010468,1032,0.997101449275362
ClassC,Bacterial genome,ECNA114_RS22590,2.5e-184,620.1,NC_017644,375,0.974025974025974
adeB,Bacterial genome,ECNA114_RS18780,0,1398.2,NC_017644,1032,0.997101449275362
adeB,Bacterial genome,ECNA114_RS17250,0,1456.2,NC_017644,1032,0.997101449275362
tolC,Bacterial genome,ECNA114_RS16120,4.3e-203,682.8,NC_017644,442,1.00683371298405
adeB,Bacterial genome,ECNA114_RS13150,0,1430.2,NC_017644,1029,0.994202898550725
adeB,Bacterial genome,ECNA114_RS07665,0,1330.9,NC_017644,1028,0.993236714975845
adeB,Bacterial genome,ECNA114_RS02235,0,1477.1,NC_017644,1039,1.00386473429952
ClassC,Bacterial genome,ECDH10B_RS22170,9.3e-186,624.8,NC_010473,375,0.974025974025974
adeB,Bacterial genome,ECDH10B_RS18770,0,1397.7,NC_010473,1032,0.997101449275362
adeB,Bacterial genome,ECDH10B_RS17485,0,1452.7,NC_010473,1032,0.997101449275362
tolC,Bacterial genome,ECDH10B_RS16305,2.2e-203,683.8,NC_010473,442,1.00683371298405
adeB,Bacterial genome,ECDH10B_RS13390,0,1430,NC_010473,1029,0.994202898550725
adeB,Bacterial genome,ECDH10B_RS02145,0,1474.5,NC_010473,1039,1.00386473429952
ClassC,Bacterial genome,ECD_RS21180,6.7e-185,622,NC_012971,375,0.974025974025974
adeB,Bacterial genome,ECD_RS17560,0,1397.7,NC_012971,1032,0.997101449275362
adeB,Bacterial genome,ECD_RS16275,0,1455.7,NC_012971,1032,0.997101449275362
tolC,Bacterial genome,ECD_RS15125,2.2e-203,683.8,NC_012971,442,1.00683371298405
adeB,Bacterial genome,ECD_RS12265,0,1430,NC_012971,1029,0.994202898550725
