RefSoil ID,Taxon ID,Kingdom,Phylum,Organism,Contains.plasmid,length.phy,Source,NCBI.ID
RefSoil_873,1416753,Bacteria,Alphaproteobacteria,Ensifer adhaerens OV14,TRUE,124,NCBI.ID2,NZ_CP007237
RefSoil_896,235,Bacteria,Alphaproteobacteria,Brucella abortus,FALSE,124,NCBI.ID2,NZ_CP007662
RefSoil_898,235,Bacteria,Alphaproteobacteria,Brucella abortus,FALSE,124,NCBI.ID2,NZ_CP007680
RefSoil_900,520455,Bacteria,Alphaproteobacteria,Brucella abortus bv. 9 str. C68,FALSE,124,NCBI.ID2,NZ_CP007706
RefSoil_902,520450,Bacteria,Alphaproteobacteria,Brucella abortus bv. 2 str. 86/8/59,FALSE,124,NCBI.ID2,NZ_CP007764
RefSoil_903,95486,Bacteria,Betaproteobacteria,Burkholderia cenocepacia,FALSE,91,NCBI.ID2,NZ_CP007784
RefSoil_904,292,Bacteria,Betaproteobacteria,Burkholderia cepacia,FALSE,91,NCBI.ID2,NZ_CP007786
RefSoil_905,520465,Bacteria,Alphaproteobacteria,Brucella melitensis bv. 2 str. 63/9,FALSE,124,NCBI.ID2,NZ_CP007788
RefSoil_911,87883,Bacteria,Betaproteobacteria,Burkholderia multivorans,FALSE,91,NCBI.ID2,NZ_CP008729
RefSoil_913,266265,Bacteria,Betaproteobacteria,Burkholderia xenovorans LB400,FALSE,91,NCBI.ID2,NZ_CP008762
RefSoil_924,1160721,Bacteria,Firmicutes,Ruminococcus bicirculans,FALSE,206,NCBI.ID2,NZ_HF545617
RefSoil_93,482957,Bacteria,Betaproteobacteria,Burkholderia lata,FALSE,91,NCBI.ID3,NC_007509
RefSoil_138,339670,Bacteria,Betaproteobacteria,Burkholderia ambifaria AMMD,TRUE,91,NCBI.ID3,NC_008392
RefSoil_146,331272,Bacteria,Betaproteobacteria,Burkholderia cenocepacia HI2424,TRUE,91,NCBI.ID3,NC_008544
RefSoil_170,269482,Bacteria,Betaproteobacteria,Burkholderia vietnamiensis G4,TRUE,91,NCBI.ID3,NC_009254
RefSoil_216,395019,Bacteria,Betaproteobacteria,Burkholderia multivorans ATCC 17616,TRUE,91,NCBI.ID3,NC_010087
RefSoil_237,406425,Bacteria,Betaproteobacteria,Burkholderia cenocepacia MC0-3,FALSE,91,NCBI.ID3,NC_010512
RefSoil_243,398577,Bacteria,Betaproteobacteria,Burkholderia ambifaria MC40-6,TRUE,91,NCBI.ID3,NC_010557
RefSoil_393,640511,Bacteria,Betaproteobacteria,Burkholderia sp. CCGE1002,TRUE,91,NCBI.ID3,NC_014119
RefSoil_482,693982,Bacteria,Alphaproteobacteria,Sinorhizobium meliloti AK83,TRUE,124,NCBI.ID3,NC_015591
RefSoil_536,1097668,Bacteria,Betaproteobacteria,Burkholderia sp. YI23,TRUE,91,NCBI.ID3,NC_016590
RefSoil_641,416344,Bacteria,Betaproteobacteria,Burkholderia sp. KJ006,TRUE,91,NCBI.ID3,NC_017922
RefSoil_803,1366050,Bacteria,Betaproteobacteria,Ralstonia pickettii DTP0602,FALSE,91,NCBI.ID3,NC_022515
RefSoil_903,95486,Bacteria,Betaproteobacteria,Burkholderia cenocepacia,FALSE,91,NCBI.ID3,NZ_CP007782
RefSoil_904,292,Bacteria,Betaproteobacteria,Burkholderia cepacia,FALSE,91,NCBI.ID3,NZ_CP007785
RefSoil_911,87883,Bacteria,Betaproteobacteria,Burkholderia multivorans,FALSE,91,NCBI.ID3,NZ_CP008728
RefSoil_913,266265,Bacteria,Betaproteobacteria,Burkholderia xenovorans LB400,FALSE,91,NCBI.ID3,NZ_CP008761
RefSoil_4,243230,Bacteria,Deinococcus-Thermus,Deinococcus radiodurans R1,TRUE,6,plasmid1,NC_000959.1
RefSoil_5,160492,Bacteria,Gammaproteobacteria,Xylella fastidiosa 9a5c,TRUE,193,plasmid1,NC_002489.3
RefSoil_9,266835,Bacteria,Alphaproteobacteria,Mesorhizobium loti MAFF303099,TRUE,124,plasmid1,NC_002679.1
RefSoil_13,882,Bacteria,Deltaproteobacteria,Desulfovibrio vulgaris str. Hildenborough,TRUE,39,plasmid1,NC_005863.1
RefSoil_16,227377,Bacteria,Gammaproteobacteria,Coxiella burnetii RSA 493,TRUE,193,plasmid1,NC_004704.1
RefSoil_18,272562,Bacteria,Firmicutes,Clostridium acetobutylicum ATCC 824,TRUE,206,plasmid1,NC_001988.2
RefSoil_19,176299,Bacteria,Alphaproteobacteria,Agrobacterium fabrum str. C58,TRUE,124,plasmid1,NC_003064.2
RefSoil_20,227882,Bacteria,Actinobacteria,Streptomyces avermitilis MA-4680,TRUE,117,plasmid1,NC_004719.1
RefSoil_21,99287,Bacteria,Gammaproteobacteria,Salmonella enterica subsp. enterica serova,TRUE,193,plasmid1,NC_003277.1
RefSoil_22,272626,Bacteria,Firmicutes,Listeria innocua Clip11262,TRUE,206,plasmid1,NC_003383.1
RefSoil_23,103690,Bacteria,Cyanobacteria,Nostoc sp. PCC 7120,TRUE,27,plasmid1,NC_003276.1
RefSoil_24,267608,Bacteria,Betaproteobacteria,Ralstonia solanacearum GMI1000,TRUE,91,plasmid1,NC_003296.1
RefSoil_25,227941,Bacteria,Chlamydiae,Chlamydophila caviae GPIC,TRUE,3,plasmid1,NC_004720.1
RefSoil_26,195102,Bacteria,Firmicutes,Clostridium perfringens str. 13,TRUE,206,plasmid1,NC_003042.1
RefSoil_30,222523,Bacteria,Firmicutes,Bacillus cereus ATCC 10987,TRUE,206,plasmid1,NC_005707.1
RefSoil_35,211586,Bacteria,Gammaproteobacteria,Shewanella oneidensis MR-1,TRUE,193,plasmid1,NC_004349.1
RefSoil_36,196164,Bacteria,Actinobacteria,Corynebacterium efficiens YS-314,TRUE,117,plasmid1,NC_004319.1
RefSoil_40,183190,Bacteria,Gammaproteobacteria,Xylella fastidiosa Temecula1,TRUE,193,plasmid1,NC_004554.1
RefSoil_41,212717,Bacteria,Firmicutes,Clostridium tetani E88,TRUE,206,plasmid1,NC_004565.1
RefSoil_44,226186,Bacteria,Bacteroidetes,Bacteroides thetaiotaomicron VPI-5482,TRUE,19,plasmid1,NC_004703.1
RefSoil_45,226900,Bacteria,Firmicutes,Bacillus cereus ATCC 14579,TRUE,206,plasmid1,NC_004721.2
RefSoil_49,258594,Bacteria,Alphaproteobacteria,Rhodopseudomonas palustris CGA009,TRUE,124,plasmid1,NC_005297.1
RefSoil_51,264730,Bacteria,Gammaproteobacteria,Pseudomonas savastanoi pv. phaseolicola 1448A,TRUE,193,plasmid1,NC_007274.1
RefSoil_60,273123,Bacteria,Gammaproteobacteria,Yersinia pseudotuberculosis IP 32953,TRUE,193,plasmid1,NC_006153.2
RefSoil_62,288681,Bacteria,Firmicutes,Bacillus cereus E33L,TRUE,206,plasmid1,NC_007103.1
RefSoil_65,247156,Bacteria,Actinobacteria,Nocardia farcinica IFM 10152,TRUE,117,plasmid1,NC_006362.1
RefSoil_66,297246,Bacteria,Gammaproteobacteria,Legionella pneumophila str. Paris,TRUE,193,plasmid1,NC_006365.1
RefSoil_67,297245,Bacteria,Gammaproteobacteria,Legionella pneumophila str. Lens,TRUE,193,plasmid1,NC_006366.1
RefSoil_69,76114,Bacteria,Betaproteobacteria,Aromatoleum aromaticum EbN1,TRUE,91,plasmid1,NC_006823.1
RefSoil_75,321314,Bacteria,Gammaproteobacteria,Salmonella enterica subsp. enterica serova,TRUE,193,plasmid1,NC_006856.1
RefSoil_79,306537,Bacteria,Actinobacteria,Corynebacterium jeikeium K411,TRUE,117,plasmid1,NC_003080.1
RefSoil_80,279808,Bacteria,Firmicutes,Staphylococcus haemolyticus JCSC1435,TRUE,206,plasmid1,NC_007169.1
RefSoil_84,269797,Archaea,Euryarchaeota,Methanosarcina barkeri str. Fusaro,TRUE,25,plasmid1,NC_007349.1
RefSoil_90,272943,Bacteria,Alphaproteobacteria,Rhodobacter sphaeroides 2.4.1,TRUE,124,plasmid1, NC_009007.1
RefSoil_92,316273,Bacteria,Gammaproteobacteria,Xanthomonas campestris pv. vesicatoria str,TRUE,193,plasmid1,NC_007507.1
RefSoil_96,269799,Bacteria,Deltaproteobacteria,Geobacter metallireducens GS-15,TRUE,39,plasmid1,NC_007515.1
RefSoil_98,261594,Bacteria,Firmicutes,Bacillus anthracis str. 'Ames Ancestor',TRUE,206,plasmid1,NC_007322.2
RefSoil_99,300268,Bacteria,Gammaproteobacteria,Shigella boydii Sb227,TRUE,193,plasmid1,NC_007608.1
RefSoil_100,323848,Bacteria,Betaproteobacteria,Nitrosospira multiformis ATCC 25196,TRUE,91,plasmid1,NC_007615.1
RefSoil_106,347834,Bacteria,Alphaproteobacteria,Rhizobium etli CFN 42,TRUE,124,plasmid1,NC_007762.1
RefSoil_110,279238,Bacteria,Alphaproteobacteria,Novosphingobium aromaticivorans DSM 12444,TRUE,124,plasmid1,NC_009426.1
RefSoil_116,296591,Bacteria,Betaproteobacteria,Polaromonas sp. JS666,TRUE,91,plasmid1,NC_007949.1
RefSoil_119,323097,Bacteria,Alphaproteobacteria,Nitrobacter hamburgensis X14,TRUE,124,plasmid1,NC_007959.1
RefSoil_120,335284,Bacteria,Gammaproteobacteria,Psychrobacter cryohalolentis K5,TRUE,193,plasmid1,NC_007968.1
RefSoil_121,266264,Bacteria,Betaproteobacteria,Cupriavidus metallidurans CH34,TRUE,91,plasmid1,NC_007974.2
RefSoil_125,164756,Bacteria,Actinobacteria,Mycobacterium sp. MCS,TRUE,117,plasmid1,NC_008147.1
RefSoil_127,377628,Bacteria,Gammaproteobacteria,Yersinia pestis Nepal516,TRUE,193,plasmid1,NC_008118.1
RefSoil_128,360102,Bacteria,Gammaproteobacteria,Yersinia pestis Antiqua,TRUE,193,plasmid1, NC_008122.1
RefSoil_130,266779,Bacteria,Alphaproteobacteria,Chelativorans sp. BNC1,TRUE,124,plasmid1,NC_008242.1
RefSoil_133,101510,Bacteria,Actinobacteria,Rhodococcus jostii RHA1,TRUE,117,plasmid1,NC_008269.1
RefSoil_135,381666,Bacteria,Betaproteobacteria,Ralstonia eutropha H16,TRUE,91,plasmid1,NC_005241.1
RefSoil_137,216596,Bacteria,Alphaproteobacteria,Rhizobium leguminosarum bv. viciae 3841,TRUE,124,plasmid1,NC_008381.1
RefSoil_138,339670,Bacteria,Betaproteobacteria,Burkholderia ambifaria AMMD,TRUE,91,plasmid1,NC_008385.1
RefSoil_141,387344,Bacteria,Firmicutes,Lactobacillus brevis ATCC 367,TRUE,206,plasmid1,NC_008498.1
RefSoil_145,290399,Bacteria,Actinobacteria,Arthrobacter sp. FB24,TRUE,117,plasmid1,NC_008537.1
RefSoil_146,331272,Bacteria,Betaproteobacteria,Burkholderia cenocepacia HI2424,TRUE,91,plasmid1,NC_008545.1
RefSoil_149,338966,Bacteria,Deltaproteobacteria,Pelobacter propionicus DSM 2379,TRUE,39,plasmid1,NC_008607.1
RefSoil_151,196162,Bacteria,Actinobacteria,Nocardioides sp. JS614,TRUE,117,plasmid1,NC_008697.1
RefSoil_154,189918,Bacteria,Actinobacteria,Mycobacterium sp. KMS,TRUE,117,plasmid1,NC_008703.1
RefSoil_155,314724,Bacteria,Spirochaetes,Borrelia turicatae 91E135,TRUE,12,plasmid1,NZ_CP019362.1
RefSoil_156,290340,Bacteria,Actinobacteria,Arthrobacter aurescens TC1,TRUE,117,plasmid1,NC_008712.1
RefSoil_157,351348,Bacteria,Gammaproteobacteria,Marinobacter hydrocarbonoclasticus VT8,TRUE,193,plasmid1,NC_008738.1
RefSoil_159,365044,Bacteria,Betaproteobacteria,Polaromonas naphthalenivorans CJ2,TRUE,91,plasmid1,NC_008757.1
RefSoil_160,232721,Bacteria,Betaproteobacteria,Acidovorax sp. JS42,TRUE,91,plasmid1,NC_008765.1
RefSoil_161,391735,Bacteria,Betaproteobacteria,Verminephrobacter eiseniae EF01-2,TRUE,91,plasmid1,NC_008771.1
RefSoil_163,420662,Bacteria,Betaproteobacteria,Methylibium petroleiphilum PM1,TRUE,91,plasmid1,NC_008826.1
RefSoil_165,349101,Bacteria,Alphaproteobacteria,Rhodobacter sphaeroides ATCC 17029,TRUE,124,plasmid1,NC_009040.1
RefSoil_170,269482,Bacteria,Betaproteobacteria,Burkholderia vietnamiensis G4,TRUE,91,plasmid1,NC_009230.1
RefSoil_171,420246,Bacteria,Firmicutes,Geobacillus thermodenitrificans NG80-2,TRUE,206,plasmid1,NC_009329.1
RefSoil_172,350054,Bacteria,Actinobacteria,Mycobacterium gilvum PYR-GCK,TRUE,117,plasmid1,NC_009339.1
RefSoil_173,340322,Bacteria,Actinobacteria,Corynebacterium glutamicum R,TRUE,117,plasmid1,NC_009343.1
RefSoil_175,349102,Bacteria,Alphaproteobacteria,Rhodobacter sphaeroides ATCC 17025,TRUE,124,plasmid1,NC_009429.1
RefSoil_177,399742,Bacteria,Gammaproteobacteria,Enterobacter sp. 638,TRUE,193,plasmid1,NC_009425.1
RefSoil_184,443906,Bacteria,Actinobacteria,Clavibacter michiganensis subsp. michiganensi,TRUE,117,plasmid1,NC_009478.1
RefSoil_186,349163,Bacteria,Alphaproteobacteria,Acidiphilium cryptum JF-5,TRUE,124,plasmid1,NC_009467.1
RefSoil_189,392499,Bacteria,Alphaproteobacteria,Sphingomonas wittichii RW1,TRUE,124,plasmid1,NC_009507.1
RefSoil_192,349106,Bacteria,Gammaproteobacteria,Psychrobacter sp. PRwf-1,TRUE,193,plasmid1,NC_009516.1
RefSoil_195,272620,Bacteria,Gammaproteobacteria,Klebsiella pneumoniae subsp. pneumoniae MG,TRUE,193,plasmid1,NC_009649.1
RefSoil_198,266940,Bacteria,Actinobacteria,Kineococcus radiotolerans SRS30216,TRUE,117,plasmid1,NC_009806.1
RefSoil_199,439375,Bacteria,Alphaproteobacteria,Ochrobactrum anthropi ATCC 49188,TRUE,124,plasmid1,NC_009669.1
RefSoil_200,315749,Bacteria,Firmicutes,Bacillus cytotoxicus NVH 391-98,TRUE,206,plasmid1,NC_009673.1
RefSoil_203,431943,Bacteria,Firmicutes,Clostridium kluyveri DSM 555,TRUE,206,plasmid1,NC_009466.1
RefSoil_206,78245,Bacteria,Alphaproteobacteria,Xanthobacter autotrophicus Py2,TRUE,124,plasmid1,NC_009717.1
RefSoil_208,290338,Bacteria,Gammaproteobacteria,Citrobacter koseri ATCC BAA-895,TRUE,193,plasmid1,NC_009794.1
RefSoil_209,360104,Bacteria,Epsilonproteobacteria,Campylobacter concisus 13826,TRUE,9,plasmid1,NC_009796.1
RefSoil_210,399741,Bacteria,Gammaproteobacteria,Serratia proteamaculans 568,TRUE,193,plasmid1,NC_009829.1
RefSoil_216,395019,Bacteria,Betaproteobacteria,Burkholderia multivorans ATCC 17616,TRUE,91,plasmid1,NC_010070.1
RefSoil_224,315730,Bacteria,Firmicutes,Bacillus weihenstephanensis KBAB4,TRUE,206,plasmid1,NC_010180.1
RefSoil_228,484022,Bacteria,Gammaproteobacteria,Francisella philomiragia subsp. philomiragi,TRUE,193,plasmid1,NC_010331.1
RefSoil_230,366602,Bacteria,Alphaproteobacteria,Caulobacter sp. K31,TRUE,124,plasmid1,NC_010335.1
RefSoil_236,426355,Bacteria,Alphaproteobacteria,Methylobacterium radiotolerans JCM 2831,TRUE,124,plasmid1,NC_010510.1
RefSoil_238,426117,Bacteria,Alphaproteobacteria,Methylobacterium sp. 4-46,TRUE,124,plasmid1,NC_010373.1
RefSoil_239,498213,Bacteria,Firmicutes,Clostridium botulinum B1 str. Okra,TRUE,206,plasmid1,NC_010379.1
RefSoil_240,498214,Bacteria,Firmicutes,Clostridium botulinum A3 str. Loch Maree,TRUE,206,plasmid1,NC_010418.1
RefSoil_242,977880,Bacteria,Betaproteobacteria,Cupriavidus taiwanensis LMG 19424,TRUE,91,plasmid1,NC_010529.1
RefSoil_243,398577,Bacteria,Betaproteobacteria,Burkholderia ambifaria MC40-6,TRUE,91,plasmid1,NC_010553.1
RefSoil_244,529507,Bacteria,Gammaproteobacteria,Proteus mirabilis HI4320,TRUE,193,plasmid1,NC_010555.1
RefSoil_245,262543,Bacteria,Firmicutes,Exiguobacterium sibiricum 255-15,TRUE,206,plasmid1,NC_010549.1
RefSoil_248,405441,Bacteria,Gammaproteobacteria,Xylella fastidiosa M23,TRUE,193,plasmid1,NC_010579.1
RefSoil_249,395963,Bacteria,Alphaproteobacteria,Beijerinckia indica subsp. indica ATCC 9039,TRUE,124,plasmid1,NC_010580.1
RefSoil_250,456481,Bacteria,Spirochaetes,Leptospira biflexa serovar Patoc strain 'Pato,TRUE,12,plasmid1,NC_010844.1
RefSoil_252,391038,Bacteria,Betaproteobacteria,Burkholderia phymatum STM815,TRUE,91,plasmid1,NC_010625.1
RefSoil_253,63737,Bacteria,Cyanobacteria,Nostoc punctiforme PCC 73102,TRUE,27,plasmid1,NC_010629.1
RefSoil_254,502801,Bacteria,Gammaproteobacteria,Yersinia pseudotuberculosis PB1/+,TRUE,193,plasmid1,NC_010635.1
RefSoil_255,398527,Bacteria,Betaproteobacteria,Burkholderia phytofirmans PsJN,TRUE,91,plasmid1,NC_010679.1
RefSoil_257,402626,Bacteria,Betaproteobacteria,Ralstonia pickettii 12J,TRUE,91,plasmid1,NC_010683.1
RefSoil_259,465817,Bacteria,Gammaproteobacteria,Erwinia tasmaniensis Et1/99,TRUE,193,plasmid1,NC_010695.1
RefSoil_260,441620,Bacteria,Alphaproteobacteria,Methylobacterium populi BJ001,TRUE,124,plasmid1,NC_010727.1
RefSoil_263,398767,Bacteria,Deltaproteobacteria,Geobacter lovleyi SZ,TRUE,39,plasmid1,NC_010815.1
RefSoil_264,355278,Bacteria,Spirochaetes,Leptospira biflexa serovar Patoc strain 'Pato,TRUE,12,plasmid1,NC_010846.1
RefSoil_266,491916,Bacteria,Alphaproteobacteria,Rhizobium etli CIAT 652,TRUE,124,plasmid1,NC_010998.1
RefSoil_270,423368,Bacteria,Gammaproteobacteria,Salmonella enterica subsp. enterica serova,TRUE,193,plasmid1,NC_011079.1
RefSoil_271,454169,Bacteria,Gammaproteobacteria,Salmonella enterica subsp. enterica serova,TRUE,193,plasmid1,NC_011082.1
RefSoil_272,439843,Bacteria,Gammaproteobacteria,Salmonella enterica subsp. enterica serova,TRUE,193,plasmid1,NC_011092.1
RefSoil_275,454166,Bacteria,Gammaproteobacteria,Salmonella enterica subsp. enterica serova,TRUE,193,plasmid1,NC_011148.1
RefSoil_276,439851,Bacteria,Gammaproteobacteria,Salmonella enterica subsp. enterica serova,TRUE,193,plasmid1,NC_011204.1
RefSoil_277,272568,Bacteria,Alphaproteobacteria,Gluconacetobacter diazotrophicus PA1 5,TRUE,124,plasmid1,NC_011367.1
RefSoil_278,395492,Bacteria,Alphaproteobacteria,Rhizobium leguminosarum bv. trifolii WSM2304,TRUE,124,plasmid1,NC_011368.1
RefSoil_279,405534,Bacteria,Firmicutes,Bacillus cereus AH187,TRUE,206,plasmid1,NC_011654.1
RefSoil_281,85643,Bacteria,Betaproteobacteria,Thauera sp. MZ1T,TRUE,91,plasmid1,NC_011667.1
RefSoil_284,41431,Bacteria,Cyanobacteria,Cyanothece sp. PCC 8801,TRUE,27,plasmid1,NC_011721.1
RefSoil_285,65393,Bacteria,Cyanobacteria,Cyanothece sp. PCC 7424,TRUE,27,plasmid1,NC_011738.1
RefSoil_286,440085,Bacteria,Alphaproteobacteria,Methylobacterium extorquens CM4,TRUE,124,plasmid1,NC_011758.1
RefSoil_290,405531,Bacteria,Firmicutes,Bacillus cereus G9842,TRUE,206,plasmid1,NC_011774.1
RefSoil_291,405535,Bacteria,Firmicutes,Bacillus cereus AH820,TRUE,206,plasmid1,NC_011771.1
RefSoil_294,583346,Bacteria,Firmicutes,Clostridium kluyveri NBRC 12016,TRUE,206,plasmid1,NC_011836.1
RefSoil_296,395961,Bacteria,Cyanobacteria,Cyanothece sp. PCC 7425,TRUE,27,plasmid1,NC_011880.1
RefSoil_297,452863,Bacteria,Actinobacteria,Arthrobacter chlorophenolicus A6,TRUE,117,plasmid1,NC_011879.1
RefSoil_299,460265,Bacteria,Alphaproteobacteria,Methylobacterium nodulans ORS 2060,TRUE,124,plasmid1,NC_011892.1
RefSoil_301,557760,Bacteria,Alphaproteobacteria,Rhodobacter sphaeroides KD131,TRUE,124,plasmid1,NC_011962.1
RefSoil_302,361100,Bacteria,Firmicutes,Bacillus cereus Q1,TRUE,206,plasmid1,NC_011973.1
RefSoil_304,311403,Bacteria,Alphaproteobacteria,Agrobacterium radiobacter K84,TRUE,124,plasmid1,NC_011994.1
RefSoil_305,311402,Bacteria,Alphaproteobacteria,Agrobacterium vitis S4,TRUE,124,plasmid1,NC_011986.1
RefSoil_308,306263,Bacteria,Epsilonproteobacteria,Campylobacter lari RM2100,TRUE,9,plasmid1,NC_012040.1
RefSoil_310,634499,Bacteria,Gammaproteobacteria,Erwinia pyrifoliae Ep1/96,TRUE,193,plasmid1,NC_013264.1
RefSoil_312,572264,Bacteria,Firmicutes,Bacillus cereus 03BB102,TRUE,206,plasmid1,NC_012473.1
RefSoil_317,632772,Bacteria,Actinobacteria,Rhodococcus opacus B4,TRUE,117,plasmid1,NC_012523.1
RefSoil_318,546414,Bacteria,Deinococcus-Thermus,Deinococcus deserti VCD115,TRUE,6,plasmid1,NC_012527.1
RefSoil_322,515621,Bacteria,Firmicutes,Clostridium botulinum Ba4 str. 657,TRUE,206,plasmid1,NC_012654.1
RefSoil_323,592021,Bacteria,Firmicutes,Bacillus anthracis str. A0248,TRUE,206,plasmid1,NC_012656.1
RefSoil_327,626418,Bacteria,Betaproteobacteria,Burkholderia glumae BGR1,TRUE,91,plasmid1,NC_012723.1
RefSoil_329,484021,Bacteria,Gammaproteobacteria,Klebsiella pneumoniae subsp. pneumonia,TRUE,193,plasmid1,NC_006625.1
RefSoil_330,515620,Bacteria,Firmicutes,[Eubacterium] eligens ATCC 27750,TRUE,206,plasmid1,NC_012782.1
RefSoil_332,573370,Bacteria,Deltaproteobacteria,Desulfovibrio magneticus RS-1,TRUE,39,plasmid1,NC_012797.1
RefSoil_334,395491,Bacteria,Alphaproteobacteria,Rhizobium leguminosarum bv. trifolii WSM1325,TRUE,124,plasmid1,NC_012848.1
RefSoil_335,428406,Bacteria,Betaproteobacteria,Ralstonia pickettii 12D,TRUE,91,plasmid1,NC_012855.1
RefSoil_342,661410,Bacteria,Alphaproteobacteria,Methylobacterium extorquens DM4,TRUE,124,plasmid1,NC_012987.1
RefSoil_351,395962,Bacteria,Cyanobacteria,Cyanothece sp. PCC 8802,TRUE,27,plasmid1,NC_013160.1
RefSoil_353,522306,Bacteria,Betaproteobacteria,Candidatus Accumulibacter phosphatis clade II,TRUE,91,plasmid1,NC_013193.1
RefSoil_354,485914,Archaea,Euryarchaeota,Halomicrobium mukohataei DSM 12286,TRUE,25,plasmid1,NC_013201.1
RefSoil_355,634452,Bacteria,Alphaproteobacteria,Acetobacter pasteurianus IFO 3283-01,TRUE,124,plasmid1,NC_013210.1
RefSoil_356,622759,Bacteria,Alphaproteobacteria,Zymomonas mobilis subsp. mobilis NCIMB 11163,TRUE,124,plasmid1,NC_013356.1
RefSoil_362,446471,Bacteria,Actinobacteria,Xylanimonas cellulosilytica DSM 15894,TRUE,117,plasmid1,NC_013531.1
RefSoil_365,479432,Bacteria,Actinobacteria,Streptosporangium roseum DSM 43021,TRUE,117,plasmid1,NC_013596.1
RefSoil_366,380358,Bacteria,Gammaproteobacteria,Xanthomonas albilineans GPE PC73,TRUE,193,plasmid1,NC_017557.1
RefSoil_368,543526,Archaea,Euryarchaeota,Haloterrigena turkmenica DSM 5511,TRUE,25,plasmid1,NC_013744.1
RefSoil_369,653938,Bacteria,Firmicutes,Listeria monocytogenes 08-5578,TRUE,206,plasmid1,NC_013767.1
RefSoil_371,398511,Bacteria,Firmicutes,Bacillus pseudofirmus OF4,TRUE,206,plasmid1,NC_013792.1
RefSoil_373,137722,Bacteria,Alphaproteobacteria,Azospirillum sp. B510,TRUE,124,plasmid1,NC_013855.1
RefSoil_374,661367,Bacteria,Gammaproteobacteria,Legionella longbeachae NSW150,TRUE,193,plasmid1,NC_014544.1
RefSoil_380,701177,Bacteria,Gammaproteobacteria,Escherichia coli O55:H7 str. CB9615,TRUE,193,plasmid1,NC_013942.1
RefSoil_383,665029,Bacteria,Gammaproteobacteria,Erwinia amylovora CFBP1430,TRUE,193,plasmid1,NC_013957.1
RefSoil_384,309800,Archaea,Euryarchaeota,Haloferax volcanii DS2,TRUE,25,plasmid1,NC_013964.1
RefSoil_385,716540,Bacteria,Gammaproteobacteria,Erwinia amylovora ATCC 49946,TRUE,193,plasmid1,NC_013972.1
RefSoil_386,240292,Bacteria,Cyanobacteria,Anabaena variabilis ATCC 29413,TRUE,27,plasmid1,NC_007410.1
RefSoil_388,452662,Bacteria,Alphaproteobacteria,Sphingobium japonicum UT26S,TRUE,124,plasmid1,NC_014007.1
RefSoil_389,545693,Bacteria,Firmicutes,Bacillus megaterium QM B1551,TRUE,206,plasmid1,NC_010008.2
RefSoil_390,272942,Bacteria,Alphaproteobacteria,Rhodobacter capsulatus SB 1003,TRUE,124,plasmid1,NC_014035.1
RefSoil_393,640511,Bacteria,Betaproteobacteria,Burkholderia sp. CCGE1002,TRUE,91,plasmid1,NC_014120.1
RefSoil_395,426114,Bacteria,Betaproteobacteria,Thiomonas arsenitoxydans,TRUE,91,plasmid1,NC_014144.1
RefSoil_397,75379,Bacteria,Betaproteobacteria,Thiomonas intermedia K12,TRUE,91,plasmid1,NC_014154.1
RefSoil_398,521096,Bacteria,Actinobacteria,Tsukamurella paurometabola DSM 20162,TRUE,117,plasmid1,NC_014159.1
RefSoil_400,714359,Bacteria,Firmicutes,Bacillus thuringiensis BMB171,TRUE,206,plasmid1,NC_014172.1
RefSoil_404,406817,Bacteria,Gammaproteobacteria,Xenorhabdus nematophila ATCC 19061,TRUE,193,plasmid1,NC_014170.1
RefSoil_407,859657,Bacteria,Betaproteobacteria,Ralstonia solanacearum PSI07,TRUE,91,plasmid1,NC_014310.1
RefSoil_420,497965,Bacteria,Cyanobacteria,Cyanothece sp. PCC 7822,TRUE,27,plasmid1,NC_014533.1
RefSoil_427,886882,Bacteria,Firmicutes,Paenibacillus polymyxa SC2,TRUE,206,plasmid1,NC_014628.2
RefSoil_429,880591,Bacteria,Alphaproteobacteria,Ketogulonicigenium vulgare Y25,TRUE,124,plasmid1,NC_014621.1
RefSoil_430,572544,Bacteria,Fusobacteria,Ilyobacter polytropus DSM 2926,TRUE,1,plasmid1,NC_014633.1
RefSoil_432,762376,Bacteria,Betaproteobacteria,Achromobacter xylosoxidans A8,TRUE,91,plasmid1,NC_014641.1
RefSoil_438,882378,Bacteria,Betaproteobacteria,Burkholderia rhizoxinica HKI 454,TRUE,91,plasmid1,NC_014718.1
RefSoil_442,573065,Bacteria,Alphaproteobacteria,Asticcacaulis excentricus CB 48,TRUE,124,plasmid1,NC_014818.1
RefSoil_445,697329,Bacteria,Firmicutes,Ruminococcus albus 7,TRUE,206,plasmid1,NC_014824.1
RefSoil_448,596153,Bacteria,Betaproteobacteria,Alicycliphilus denitrificans BC,TRUE,91,plasmid1,NC_014908.1
RefSoil_456,741091,Bacteria,Gammaproteobacteria,Rahnella sp. Y9602,TRUE,193,plasmid1,NC_015062.1
RefSoil_457,640510,Bacteria,Betaproteobacteria,Burkholderia sp. CCGE1001,TRUE,91,plasmid1,NZ_CP012899.1
RefSoil_458,930171,Bacteria,Actinobacteria,Arthrobacter phenanthrenivorans Sphe3,TRUE,117,plasmid1,NC_015146.1
RefSoil_460,693977,Bacteria,Deinococcus-Thermus,Deinococcus proteolyticus MRP,TRUE,6,plasmid1,NC_015169.1
